Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 1330
Start Time: 1/25/2023 2:51:54.39 PM
Scan Rate: 50
Sample,Time (s),CH1 (°C)
885,17.70,106.488
886,17.72,106.498
887,17.74,106.495
888,17.76,106.488
889,17.78,106.473
890,17.80,106.474
891,17.82,106.479
892,17.84,106.497
893,17.86,106.481
894,17.88,106.464
895,17.90,106.432
896,17.92,106.419
897,17.94,106.414
898,17.96,106.415
899,17.98,106.402
900,18.00,106.386
901,18.02,106.374
902,18.04,106.383
903,18.06,106.389
904,18.08,106.399
905,18.10,106.397
906,18.12,106.391
907,18.14,106.381
908,18.16,106.384
909,18.18,106.391
910,18.20,106.399
911,18.22,106.407
912,18.24,106.409
913,18.26,106.387
914,18.28,106.385
915,18.30,106.416
916,18.32,106.421
917,18.34,106.424
918,18.36,106.418
919,18.38,106.406
920,18.40,106.395
921,18.42,106.406
922,18.44,106.413
923,18.46,106.411
924,18.48,106.400
925,18.50,106.403
926,18.52,106.409
927,18.54,106.407
928,18.56,106.420
929,18.58,106.403
930,18.60,106.397
931,18.62,106.401
932,18.64,106.413
933,18.66,106.424
934,18.68,106.423
935,18.70,106.411
936,18.72,106.406
937,18.74,106.409
938,18.76,106.425
939,18.78,106.438
940,18.80,106.426
941,18.82,106.423
942,18.84,106.419
943,18.86,106.420
944,18.88,106.440
945,18.90,106.443
946,18.92,106.426
947,18.94,106.408
948,18.96,106.411
949,18.98,106.406
950,19.00,106.401
951,19.02,106.403
952,19.04,106.395
953,19.06,106.393
954,19.08,106.400
955,19.10,106.399
956,19.12,106.411
957,19.14,106.393
958,19.16,106.387
959,19.18,106.370
960,19.20,106.364
961,19.22,106.351
962,19.24,106.355
963,19.26,106.366
964,19.28,106.365
965,19.30,106.341
966,19.32,106.335
967,19.34,106.341
968,19.36,106.373
969,19.38,106.364
970,19.40,106.337
971,19.42,106.326
972,19.44,106.337
973,19.46,106.363
974,19.48,106.363
975,19.50,106.360
976,19.52,106.343
977,19.54,106.354
978,19.56,106.370
979,19.58,106.384
980,19.60,106.391
981,19.62,106.397
982,19.64,106.419
983,19.66,106.436
984,19.68,106.436
985,19.70,106.429
986,19.72,106.426
987,19.74,106.443
988,19.76,106.447
989,19.78,106.461
990,19.80,106.465
991,19.82,106.466
992,19.84,106.481
993,19.86,106.490
994,19.88,106.486
995,19.90,106.482
996,19.92,106.483
997,19.94,106.481
998,19.96,106.500
999,19.98,106.500
1000,20.00,106.499
1001,20.02,106.487
1002,20.04,106.501
1003,20.06,106.508
1004,20.08,106.520
1005,20.10,106.534
1006,20.12,106.554
1007,20.14,106.557
1008,20.16,106.587
1009,20.18,106.615
1010,20.20,106.625
1011,20.22,106.652
1012,20.24,106.643
1013,20.26,106.635
1014,20.28,106.624
1015,20.30,106.612
1016,20.32,106.602
1017,20.34,106.589
1018,20.36,106.594
1019,20.38,106.599
1020,20.40,106.594
1021,20.42,106.565
1022,20.44,106.552
1023,20.46,106.524
1024,20.48,106.528
1025,20.50,106.541
1026,20.52,106.509
1027,20.54,106.484
1028,20.56,106.466
1029,20.58,106.455
1030,20.60,106.453
1031,20.62,106.442
1032,20.64,106.440
1033,20.66,106.430
1034,20.68,106.413
1035,20.70,106.415
1036,20.72,106.430
1037,20.74,106.428
1038,20.76,106.434
1039,20.78,106.410
1040,20.80,106.403
1041,20.82,106.404
1042,20.84,106.415
1043,20.86,106.421
1044,20.88,106.415
1045,20.90,106.411
1046,20.92,106.408
1047,20.94,106.410
1048,20.96,106.424
1049,20.98,106.410
1050,21.00,106.397
1051,21.02,106.399
1052,21.04,106.397
1053,21.06,106.410
1054,21.08,106.428
1055,21.10,106.426
1056,21.12,106.431
1057,21.14,106.441
1058,21.16,106.456
1059,21.18,106.445
1060,21.20,106.446
1061,21.22,106.450
1062,21.24,106.458
1063,21.26,106.453
1064,21.28,106.451
1065,21.30,106.442
1066,21.32,106.447
1067,21.34,106.439
1068,21.36,106.416
1069,21.38,106.416
1070,21.40,106.414
1071,21.42,106.413
1072,21.44,106.415
1073,21.46,106.398
1074,21.48,106.386
1075,21.50,106.405
1076,21.52,106.393
1077,21.54,106.405
1078,21.56,106.409
1079,21.58,106.403
1080,21.60,106.390
1081,21.62,106.382
1082,21.64,106.378
1083,21.66,106.363
1084,21.68,106.354
1085,21.70,106.353
1086,21.72,106.346
1087,21.74,106.343
1088,21.76,106.333
1089,21.78,106.324
1090,21.80,106.326
1091,21.82,106.342
1092,21.84,106.334
1093,21.86,106.337
1094,21.88,106.331
1095,21.90,106.333
1096,21.92,106.325
1097,21.94,106.314
1098,21.96,106.318
1099,21.98,106.339
1100,22.00,106.353
1101,22.02,106.361
1102,22.04,106.367
1103,22.06,106.385
1104,22.08,106.411
1105,22.10,106.441
1106,22.12,106.453
1107,22.14,106.445
1108,22.16,106.436
1109,22.18,106.445
1110,22.20,106.453
1111,22.22,106.464
1112,22.24,106.466
1113,22.26,106.432
1114,22.28,106.467
1115,22.30,106.434
1116,22.32,106.429
1117,22.34,106.425
1118,22.36,106.444
1119,22.38,106.469
1120,22.40,106.436
1121,22.42,106.432
1122,22.44,106.405
1123,22.46,106.413
1124,22.48,106.444
1125,22.50,106.455
1126,22.52,106.434
1127,22.54,106.427
1128,22.56,106.418
1129,22.58,106.424
1130,22.60,106.449
1131,22.62,106.436
1132,22.64,106.426
1133,22.66,106.410
1134,22.68,106.420
1135,22.70,106.443
1136,22.72,106.449
1137,22.74,106.433
1138,22.76,106.424
1139,22.78,106.424
1140,22.80,106.422
1141,22.82,106.433
1142,22.84,106.429
1143,22.86,106.432
1144,22.88,106.425
1145,22.90,106.432
1146,22.92,106.434
1147,22.94,106.433
1148,22.96,106.448
1149,22.98,106.441
1150,23.00,106.420
1151,23.02,106.426
1152,23.04,106.434
1153,23.06,106.443
1154,23.08,106.451
1155,23.10,106.452
1156,23.12,106.430
1157,23.14,106.420
1158,23.16,106.438
1159,23.18,106.465
1160,23.20,106.471
1161,23.22,106.463
1162,23.24,106.467
1163,23.26,106.457
1164,23.28,106.467
1165,23.30,106.489
1166,23.32,106.487
1167,23.34,106.486
1168,23.36,106.491
1169,23.38,106.494
1170,23.40,106.500
1171,23.42,106.509
1172,23.44,106.508
1173,23.46,106.505
1174,23.48,106.503
1175,23.50,106.510
1176,23.52,106.508
1177,23.54,106.517
1178,23.56,106.510
1179,23.58,106.517
