"Device: USB-2408-2AO"
"Serial Number: 1C3CD21"
"Channel Count: 1"
"Sample Count: 1300"
"Start Time: 1/25/2023 2:43:08.66 PM"
"Scan Rate: 50"
"Sample","Time (s)","CH1 (°C)"
"563","11.26","21.309"
"564","11.28","21.315"
"565","11.30","21.317"
"566","11.32","21.324"
"567","11.34","21.323"
"568","11.36","21.326"
"569","11.38","21.331"
"570","11.40","21.324"
"571","11.42","21.318"
"572","11.44","21.305"
"573","11.46","21.316"
"574","11.48","21.314"
"575","11.50","21.311"
"576","11.52","21.310"
"577","11.54","21.311"
"578","11.56","21.302"
"579","11.58","21.309"
"580","11.60","21.326"
"581","11.62","21.319"
"582","11.64","21.320"
"583","11.66","21.322"
"584","11.68","21.331"
"585","11.70","21.327"
"586","11.72","21.335"
"587","11.74","21.340"
"588","11.76","21.339"
"589","11.78","21.332"
"590","11.80","21.312"
"591","11.82","21.320"
"592","11.84","21.311"
"593","11.86","21.326"
"594","11.88","21.322"
"595","11.90","21.300"
"596","11.92","21.307"
"597","11.94","21.307"
"598","11.96","21.316"
"599","11.98","21.320"
"600","12.00","21.319"
"601","12.02","21.325"
"602","12.04","21.332"
"603","12.06","21.324"
"604","12.08","21.322"
"605","12.10","21.316"
"606","12.12","21.311"
"607","12.14","21.310"
"608","12.16","21.306"
"609","12.18","21.297"
"610","12.20","21.304"
"611","12.22","21.305"
"612","12.24","21.302"
"613","12.26","21.308"
"614","12.28","21.306"
"615","12.30","21.321"
"616","12.32","21.328"
"617","12.34","21.319"
"618","12.36","21.332"
"619","12.38","21.339"
"620","12.40","21.332"
"621","12.42","21.317"
"622","12.44","21.327"
"623","12.46","21.314"
"624","12.48","21.299"
"625","12.50","21.300"
"626","12.52","21.293"
"627","12.54","21.291"
"628","12.56","21.290"
"629","12.58","21.293"
"630","12.60","21.296"
"631","12.62","21.305"
"632","12.64","21.313"
"633","12.66","21.319"
"634","12.68","21.322"
"635","12.70","21.325"
"636","12.72","21.322"
"637","12.74","21.328"
"638","12.76","21.319"
"639","12.78","21.321"
"640","12.80","21.306"
"641","12.82","21.306"
"642","12.84","21.303"
"643","12.86","21.303"
"644","12.88","21.302"
"645","12.90","21.302"
"646","12.92","21.314"
"647","12.94","21.317"
"648","12.96","21.322"
"649","12.98","21.331"
"650","13.00","21.324"
"651","13.02","21.334"
"652","13.04","21.341"
"653","13.06","21.335"
"654","13.08","21.327"
"655","13.10","21.326"
"656","13.12","21.321"
"657","13.14","21.314"
"658","13.16","21.313"
"659","13.18","21.301"
"660","13.20","21.306"
"661","13.22","21.300"
"662","13.24","21.306"
"663","13.26","21.315"
"664","13.28","21.314"
"665","13.30","21.313"
"666","13.32","21.322"
"667","13.34","21.331"
"668","13.36","21.332"
"669","13.38","21.336"
"670","13.40","21.333"
"671","13.42","21.325"
"672","13.44","21.326"
"673","13.46","21.324"
"674","13.48","21.312"
"675","13.50","21.309"
"676","13.52","21.309"
"677","13.54","21.308"
"678","13.56","21.312"
"679","13.58","21.304"
"680","13.60","21.313"
"681","13.62","21.320"
"682","13.64","21.321"
"683","13.66","21.332"
"684","13.68","21.322"
"685","13.70","21.329"
"686","13.72","21.319"
"687","13.74","21.329"
"688","13.76","21.317"
"689","13.78","21.321"
"690","13.80","21.308"
"691","13.82","21.315"
"692","13.84","21.310"
"693","13.86","21.305"
"694","13.88","21.309"
"695","13.90","21.314"
"696","13.92","21.317"
"697","13.94","21.320"
"698","13.96","21.321"
"699","13.98","21.331"
"700","14.00","21.333"
"701","14.02","21.337"
"702","14.04","21.325"
"703","14.06","21.327"
"704","14.08","21.322"
"705","14.10","21.321"
"706","14.12","21.317"
"707","14.14","21.305"
"708","14.16","21.314"
"709","14.18","21.310"
"710","14.20","21.304"
"711","14.22","21.307"
"712","14.24","21.320"
"713","14.26","21.319"
"714","14.28","21.317"
"715","14.30","21.324"
"716","14.32","21.332"
"717","14.34","21.331"
"718","14.36","21.334"
"719","14.38","21.328"
"720","14.40","21.330"
"721","14.42","21.330"
"722","14.44","21.322"
"723","14.46","21.318"
"724","14.48","21.309"
"725","14.50","21.306"
"726","14.52","21.297"
"727","14.54","21.302"
"728","14.56","21.307"
"729","14.58","21.319"
"730","14.60","21.334"
"731","14.62","21.331"
"732","14.64","21.339"
"733","14.66","21.331"
"734","14.68","21.343"
"735","14.70","21.346"
"736","14.72","21.345"
"737","14.74","21.334"
"738","14.76","21.331"
"739","14.78","21.331"
"740","14.80","21.323"
"741","14.82","21.316"
"742","14.84","21.313"
"743","14.86","21.311"
"744","14.88","21.307"
"745","14.90","21.313"
"746","14.92","21.322"
"747","14.94","21.326"
"748","14.96","21.326"
"749","14.98","21.340"
"750","15.00","21.341"
"751","15.02","21.345"
"752","15.04","21.342"
"753","15.06","21.338"
"754","15.08","21.339"
"755","15.10","21.335"
"756","15.12","21.322"
"757","15.14","21.315"
"758","15.16","21.309"
"759","15.18","21.310"
"760","15.20","21.311"
"761","15.22","21.312"
"762","15.24","21.326"
"763","15.26","21.331"
"764","15.28","21.331"
"765","15.30","21.343"
"766","15.32","21.344"
"767","15.34","21.346"
"768","15.36","21.342"
"769","15.38","21.334"
"770","15.40","21.334"
