Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 514
Start Time: 1/18/2023 2:55:29.3 PM
Scan Rate: 10
Sample,Time (s),CH0 (°C),CH1 (°C)
478,47.8,20.204,20.210
479,47.9,20.204,20.196
480,48.0,20.205,20.198
481,48.1,20.199,20.196
482,48.2,20.192,20.196
483,48.3,20.206,20.196
484,48.4,20.203,20.194
485,48.5,20.202,20.177
486,48.6,20.194,20.179
487,48.7,20.207,20.176
488,48.8,20.196,20.169
489,48.9,20.201,20.167
490,49.0,20.199,20.155
491,49.1,20.193,20.156
492,49.2,20.197,20.155
493,49.3,20.200,20.141
494,49.4,20.200,20.139
495,49.5,20.194,20.138
496,49.6,20.199,20.133
497,49.7,20.195,20.128
498,49.8,20.202,20.126
499,49.9,20.198,20.119
500,50.0,20.190,20.120
501,50.1,20.198,20.108
502,50.2,20.263,20.170
503,50.3,20.255,20.174
504,50.4,20.259,20.175
505,50.5,20.257,20.165
506,50.6,20.256,20.172
507,50.7,20.259,20.165
508,50.8,20.254,20.153
509,50.9,20.252,20.157
510,51.0,20.269,20.161
511,51.1,20.251,20.155
512,51.2,20.258,20.159
513,51.3,20.258,20.148
